id,name,rating,announcementID,announcementWriter,startTime,
"650","Codeforces Round #345 (Div. 1)","443","43615","Zlobober","2016-03-07 09:25:00",
"651","Codeforces Round #345 (Div. 2)","443","43615","Zlobober","2016-03-07 09:25:00",
"696","Codeforces Round #362 (Div. 1)","441","45991","DarthKnight","2016-07-14 16:35:00",
"697","Codeforces Round #362 (Div. 2)","441","45991","DarthKnight","2016-07-14 16:35:00",
"1106","Codeforces Round #536 (Div. 2)","438","64884","jinlifu1999","2019-01-31 12:35:00",
"1152","Codeforces Round #554 (Div. 2)","436","66587","Akikaze","2019-04-24 14:35:00",
"778","Codeforces Round #402 (Div. 1)","429","50658","niyaznigmatul","2017-02-26 08:05:00",
"779","Codeforces Round #402 (Div. 2)","429","50658","niyaznigmatul","2017-02-26 08:05:00",
"822","Codeforces Round #422 (Div. 2)","428","53000","Melnik","2017-07-02 16:05:00",
"607","Codeforces Round #336 (Div. 1)","427","22233","ed1d1a8d","2015-12-23 16:35:00",
"608","Codeforces Round #336 (Div. 2)","427","22233","ed1d1a8d","2015-12-23 16:35:00",
"793","Tinkoff Challenge - Elimination Round","424","51670","300iq","2017-04-23 16:45:00",
"1146","Forethought Future Cup - Elimination Round","423","66603","Lewin","2019-04-20 18:05:00",
"715","Codeforces Round #372 (Div. 1)","423","47119","zscoder","2016-09-17 13:45:00",
"716","Codeforces Round #372 (Div. 2)","423","47119","zscoder","2016-09-17 13:45:00",
"582","Codeforces Round #323 (Div. 1)","423","20657","danilka.pro","2015-10-03 16:45:00",
"583","Codeforces Round #323 (Div. 2)","423","20657","danilka.pro","2015-10-03 16:45:00",
"1172","Codeforces Round #564 (Div. 1)","421","67446","ouuan","2019-06-07 12:05:00",
"1173","Codeforces Round #564 (Div. 2)","421","67446","ouuan","2019-06-07 12:05:00",
"461","Codeforces Round #263 (Div. 1)","420","13508","hogloid","2014-08-26 14:00:00",
"462","Codeforces Round #263 (Div. 2)","420","13508","hogloid","2014-08-26 14:00:00",
"1190","Codeforces Round #573 (Div. 1)","415","68292","tokitsukaze","2019-07-12 14:35:00",
"1191","Codeforces Round #573 (Div. 2)","415","68292","tokitsukaze","2019-07-12 14:35:00",
"599","Codeforces Round #332 (Div. 2)","415","21662","Yury_Bandarchuk","2015-11-20 16:35:00",
"848","Codeforces Round #431 (Div. 1)","414","54214","cyand1317","2017-09-01 13:35:00",
"849","Codeforces Round #431 (Div. 2)","414","54214","cyand1317","2017-09-01 13:35:00",
"788","Codeforces Round #407 (Div. 1)","414","51250","Barichek","2017-03-29 16:05:00",
"789","Codeforces Round #407 (Div. 2)","414","51250","Barichek","2017-03-29 16:05:00",
"1002","Microsoft Q# Coding Contest - Summer 2018","413","60209","Nickolas","2018-07-06 16:00:00",
"1001","Microsoft Q# Coding Contest - Summer 2018 - Warmup","413","60209","Nickolas","2018-06-29 16:00:00",
"859","MemSQL Start[c]UP 3.0 - Round 1","413","54496","cerealguy","2017-09-16 17:35:00",
"755","8VC Venture Cup 2017 - Elimination Round","408","49732","Miyukine","2017-01-15 17:05:00",
"290","April Fools Day Contest 2013","406","7204","Nickolas","2013-04-01 15:30:00",
"992","Codeforces Round #489 (Div. 2)","405","60050","DmitryGrigorev","2018-06-18 16:35:00",
"895","Codeforces Round #448 (Div. 2)","405","56005","NBAH","2017-11-26 16:05:00",
"794","Tinkoff Challenge - Final Round (Codeforces Round #414, rated, Div. 1 + Div. 2)","404","51934","zscoder","2017-05-13 09:35:00",
"919","Codeforces Round #460 (Div. 2)","402","57402","jinlifu1999","2018-01-31 13:05:00",
"405","Codeforces Round #238 (Div. 2)","402","11153","gen","2014-03-22 15:30:00",
"406","Codeforces Round #238 (Div. 1)","402","11153","gen","2014-03-22 15:30:00",
"288","Codeforces Round #177 (Div. 1)","400","7205","MikeMirzayanov","2013-04-02 15:30:00",
"1184","Helvetic Coding Contest 2019 online mirror (teams allowed, unrated)","399","68155","dj3500","2019-07-07 07:05:00",
"555","Codeforces Round #310 (Div. 1)","392","18896","AndreySergunin","2015-06-27 14:10:00",
"556","Codeforces Round #310 (Div. 2)","392","18896","AndreySergunin","2015-06-27 14:10:00",
"827","Codeforces Round #423 (Div. 1, rated, based on VK Cup Finals)","389","53219","KAN","2017-07-11 16:45:00",
"828","Codeforces Round #423 (Div. 2, rated, based on VK Cup Finals)","389","53219","KAN","2017-07-11 16:45:00",
"706","Codeforces Round #367 (Div. 2)","387","46492","NBAH","2016-08-11 16:35:00",
"494","Codeforces Round #282 (Div. 1)","383","15134","matrix","2014-12-13 16:30:00",
"495","Codeforces Round #282 (Div. 2)","383","15134","matrix","2014-12-13 16:30:00",
"455","Codeforces Round #260 (Div. 1)","383","13319","GandalfTheGrey","2014-08-08 15:30:00",
"456","Codeforces Round #260 (Div. 2)","383","13319","GandalfTheGrey","2014-08-08 15:30:00",
"329","Codeforces Round #192 (Div. 1)","382","8402","dolphinigle","2013-07-20 13:30:00",
"330","Codeforces Round #192 (Div. 2)","382","8402","dolphinigle","2013-07-20 13:30:00",
"1028","AIM Tech Round 5 (rated, Div. 1 + Div. 2)","381","61450","zeliboba","2018-08-27 16:35:00",
"991","Codeforces Round #491 (Div. 2)","380","60139","ashmelev","2018-06-23 15:35:00",
"573","Codeforces Round #318 [RussianCodeCup Thanks-Round] (Div. 1)","380","20020","Errichto","2015-08-29 16:30:00",
"574","Codeforces Round #318 [RussianCodeCup Thanks-Round] (Div. 2)","380","20020","Errichto","2015-08-29 16:30:00",
"1004","Codeforces Round #495 (Div. 2)","379","60409","arsijo","2018-07-05 16:35:00",
"1012","Codeforces Round #500 (Div. 1) [based on EJOI]","378","60861","300iq","2018-07-30 08:15:00",
"1013","Codeforces Round #500 (Div. 2) [based on EJOI]","378","60861","300iq","2018-07-30 08:15:00",
"541","VK Cup 2015 - Раунд 3","375","17690","Zlobober","2015-05-03 16:00:00",
"542","VK Cup 2015 - Round 3 (unofficial online mirror, Div. 1 only)","375","17690","Zlobober","2015-05-03 16:00:00",
"784","April Fools Contest 2017","374","51289","Nickolas","2017-03-31 15:00:00",
"700","Codeforces Round #364 (Div. 1)","372","46195","GlebsHP","2016-07-22 16:35:00",
"701","Codeforces Round #364 (Div. 2)","372","46195","GlebsHP","2016-07-22 16:35:00",
"409","April Fools Day Contest 2014","370","11322","Nickolas","2014-04-01 15:30:00",
"527","Codeforces Round #296 (Div. 2)","368","16996","Zlobober","2015-03-17 16:45:00",
"528","Codeforces Round #296 (Div. 1)","368","16996","Zlobober","2015-03-17 16:45:00",
"959","Codeforces Round #473 (Div. 2)","367","58682","mohammedehab2002","2018-04-03 16:05:00",
"193","Codeforces Round #122 (Div. 1)","367","4671","tunyash","2012-06-03 15:30:00",
"194","Codeforces Round #122 (Div. 2)","367","4671","tunyash","2012-06-03 15:30:00",
"722","Intel Code Challenge Elimination Round (Div. 1 + Div. 2, combined)","366","47431","vepifanov","2016-10-01 14:05:00",
"639","VK Cup 2016 - Round 1","364","44012","Radewoosh","2016-03-28 16:35:00",
"657","VK Cup 2016 - Round 1 (Div.1 Edition)","364","44012","Radewoosh","2016-03-28 16:35:00",
"658","VK Cup 2016 - Round 1 (Div. 2 Edition)","364","44012","Radewoosh","2016-03-28 16:35:00",
"584","Codeforces Round #324 (Div. 2)","364","20739","ZhNV","2015-10-06 16:30:00",
"675","Codeforces Round #353 (Div. 2)","363","44880","komendart","2016-05-16 16:35:00",
"1204","Codeforces Round #581 (Div. 2)","362","69223","sorry_marymarine","2019-08-20 14:35:00",
"812","Codeforces Round #417 (Div. 2)","361","52240","Ahmad_Elsagheer","2017-06-01 14:15:00",
